Tweets,Polarity,Sentiments
Our army s doing excellent in j k Nowadays with Corona virus manthan time need hard laws for anti nationalist who are infected with international Islamic agenda Attach anti nationalist amp irresponsible politician citizens properties by amendments Be hard for new India,0.1106060606060606,Positive
Corona virus manthan time is demanding new policies in salaries welfare policies for youth amp poor people s Population control laws one education system uniform civil code amp others hard laws by amendments in 70 years flexible constitution Break records of hospital s,-0.18510101010101013,Negative
Corona virus manthan guiding us to control politician allowances Gov t employees beneficiaries allowances timely make new policies for employment of youth A huge difference is coming every year of salary Control it Provide new hospital s employment to youths J hind,0.22424242424242424,Positive
The stock markets have tanked globally due to the corona crisis The Indian markets have almost fallen 40 from its peak Is this the best time to invest If No when should we start If yes what should be buy If we buy what if it falls further stockmarket EconomicCrisis,0.2916666666666667,Positive
Politician can set up a better understanding in society to avoid some allowances pensions for nation Mahanayak modi ji nationalist team must reduce some allowances in Corona virus manthan time We can save crores from such allowances amp pensions Jai hind,0.25,Positive
Corona virus manthan guiding us to take hard decisions for population control laws one constitution one education system for 130 crores Indian 33 crores 4 members Make new welfare policies health security education security for 33 crores families Jai hind,-0.07765151515151517,Negative
Why baba ramdev ji hiking price of wheat atta others products during Corona virus manthan Be hard for all Jai hind,-0.2916666666666667,Negative
3 medicine and 1 psm resident test positive today at jhalawar medical college raj Now babbu mann can sung MEDICO di jun buri Kade lath te kade corona,0.11363636363636363,Positive
NarendraModi did not think about stopping an epidemic like Corona from coming to the country and YogiAdityanath did not think about stopping it from coming to Uttar Pradesh The result is in front,0.0,Neutral
Help Them Followers of Sant Rampal Ji Maharaj arranged for bhandara for the needy who came forward during the crisis of corona epidemic Must watch sadhana T v 7 30pm,0.0,Neutral
Salute to Corona warriors,0.0,Neutral
urges everyone follow the guidelines given by the govt amp protect elderly children and sick from Corona and FightAgainstCorona stay home,-0.7142857142857143,Negative
