Tweets,Polarity,Sentiments
Absolutely I would be the lighthouse customer of it Btw you spelled out a very viable business idea mam Look forward to playing with Naitik kiddo post Corona Until then please hug and kiss him for me,0.2,Positive
Today during the Corona Virus Lockdown Emergency supplies have been distributed in Zafargadh and Vaddegudem to the underprivileged families with the support of all our 10Th class friends Thank you to all our friends who contributed to this,0.0,Neutral
If Corona virus doesn t take you out Can i at pizza ghar,0.0,Neutral
Japan s professor of Physiology or Medicine Professor Dr Tasuku Honjo created a sensation in front of the media today by saying that the corona virus is not natural if it is natural it wudn t hv adversely affected entire world like this,0.016666666666666666,Positive
Due to corona lockdown many daily labour are facing difficulties in daily life me and my father have provided meals to 335 migrant labour who were kept at kazipet shelters COVID19 WGLU,0.09375,Positive
Due to corona lockdown many daily labour are facing difficulties in daily life me and my father have distributed 23 grocery items to 350 migrant labour from orrisa chattisgarh UP amp bihar in warangal urban COVID19 WGLU,0.075,Positive
In the war on corona iam with the meyor of warangal,0.0,Neutral
Will Be Restocked Promptly We Are Fully Equipped for the Sanitation Battle s Sanitation Stay Home Stay Safe Thanks Maa M Our s Warangal Telangana Fights Corona Jai Telangana Jai Hind Telangana Ki Awaz Fasi,0.35,Positive
Fight against corona Red zone Area,0.0,Neutral
This Corona outbreak has taught us how to be compassionate towards innocent animals Why should we restrict ourselves in distributing food only to our species why not others Even they deserve food security GWMC Officers,0.25,Positive
Hai anna He is the person name ganesh ettaboina age19years Everyday from day 1 to interact with people and spread awareness about corona fight against corona warangal at Warangal Railway Station,-0.2,Negative
The fight against Corona should be bottom up not top down PM must empower States He should do so Give resources to the States Communicate with the states freely RahulSpeaksForIndia,-0.0018518518518518452,Negative
The next generation of our family has a message for everyone Let us all support our Government s relentless efforts to fight Corona Virus by Staying Home and Staying Safe StayHomeStaySafe IndiaFightsCorona,0.25,Positive
Sir please take care of this Ila unte corona virus ekkuva aiethadi ga please Sir dinigurinchi evarina pattinchukomani cheppandi it will effect more sir 1000 s of people at one place at lockdown What happening sir here we are requesting you to change it at O City,0.5,Positive
citizenHeroes today is a microbiologist Rama Krishna from khammam He is a doctorate in microbiology from khammam king George medical university Lucknow Was called by university to join corona testing team,0.0,Neutral
Good decision to control CORONA sir but all must look after the poor who are not having enough money to survive themselves must be provided some grocery to them Many NGO s are doing the Service please encourage them Sir,0.19999999999999998,Positive
stayhomestaysafe spreadlovenotvirus Respect police Respect Doctors Respect ghmc workers Saty home stay safe Please Wear mask Corona virus alert Hand wash 20 times day,0.5,Positive
