Tweets,Polarity,Sentiments
Without Pharmacist no one can believe for safe and effective use of medicines Even medicines are manufactured by pharmacists only so we are the warriors of AMMUNITION dept as like of INDIAN ARMY Pharmacist against corona,0.3666666666666667,Positive
Ek consensus bana liye hote Aap to sushasan babu ho Ab vyavastha kaise karenge After all the arrangements have to be done to cotain the corona by hook amp crook Lord bless our wretched people they comeout from the corona tempest,0.0,Neutral
As and when scientists are allarming that out of ten three mazdoors might be suseptible to having corona in the fourth week of March 20 what Bihar Govt who has ruled for fifteen years regularly doing to fight it out Conducting maximum tests the situations,0.0,Neutral
I want to say Corona is a major epidemic for this without Lockdown is not solutions and Keeping precautions,0.0625,Positive
Dear sir Ticket cancelled by railway due to Corona virus but ticket amount still not Rey by me PNR 6541626160 Train no 12309 Please do needful,-0.125,Negative
Social Distancing for Corona is Congratulated But Social Distancing of Corona Relief is not good System Distancing by you from Ur 9473191310 is DangerousGame Also with sp 9431822985 Only Evaiding of by DM SP Vaishali,-0.07083333333333333,Negative
Jab aap sabhi officer jante hai ki India corona se fight kr rahe hai Phir business man de thora sa to raham kr gst late fee wave kr digiye July 2017 to Jan 2020 plz wave late fee Kindly request,0.0,Neutral
Plz wave late fee of 3b July 2017 to Jan 2020 because India fight corona virous Kindly request wave late fee,0.0,Neutral
Dear sir Ticket cancelled by railway due to Corona virus but ticket amount still not Rey by me PNR 6541626160 Train no 12309 Please do needful,-0.125,Negative
Now its tough time for us as you know that Madhubani district is not in green zone now 5 corona positives in a day,-0.29444444444444445,Negative
Do you believe that corona is a miracle sent from Allah,0.0,Neutral
Lock down corona,-0.15555555555555559,Negative
RuleOfLaw by Speedy Despute Resolution Such Project Like a Vision If Interpreting of law by CJI Judges amp Implementing by Govt amp his Police by State Central Only enjoyed as a PAIR Like Hanimoon All Human Restricted 4 Justice SCIndia Lockdown 4 Judicial Corona,0.1,Positive
The godi media which ran breaking news to discredit TJ for 1 month after Tablighi Jamaat s corona from Markaz Now will the media show the TJ contribution of blood donation for the corona patient Or does the Indian media only know to spread hatred Islamophobia In India,0.0,Neutral
Not corona update,0.0,Neutral
Tableeghi members who defeated corona Waiting to donate plasma This new pic came out from Delhi They don t spread virus They spread love compassion brotherhood Hatemongers what do you call this now Plasma Jihad at Samastipur,0.3181818181818182,Positive
Helping the helpless people should be our religion this is the eternal culture of India Do not miss this opportunity during this crisis of Corona epidemic Help Them,0.0,Neutral
Her name is Dhara Patel Mohatrama lives in Dubai according to them Muslim Corona is responsible for spreading the virus she says Muslims should be boycotted news,0.2,Positive
Why has India become infected with Corona Ignored Rahul Gandhi s early warnings Namaste Trump Buying MLA in MP,0.1,Positive
Tabligi Jamat followers Donating Plasma for the CoronaVirus treatment in India Indian Media accused them as Super spreaders called it Corona Jihad but still they want to save the lives of fellow Indians Real Heroes TabligiHeroes,0.26666666666666666,Positive
I don t know why media is not showing this You insulted them You called them corona jihadi You abuse them on the basis of fake news In return they are donating their plasma for corona patients in the country They showed hatred is not the solution TabligiHeroes,-0.5,Negative
Help Them All beings are children of God and in the time of this corona epidemic crisis followers of Saint Rampal Ji Maharaj are actively participating Saint Rampal Ji Maharaj says that feeding the hungry person is doing great virtue Must watch sadhana TV at 7 30 PM,0.33333333333333337,Positive
In view of the crisis of corona Epidemic talk to the govt of the central all the state governments of the country and immediately free the room rent for the next 3 months for the students living in all cities Please follow this topic DeclareNoRentForStudents,0.13333333333333333,Positive
Help Them All beings are children of God and in the time of this corona epidemic crisis followers of Saint Rampal Ji Maharaj are actively participating Saint Rampal Ji Maharaj says that feeding the hungry person is doing great virtue,0.33333333333333337,Positive
IndiaFightsCorona India s endeavour to fight corona,0.0,Neutral
Chhattisgarh Govt gets Corona Kit for 337 and Central BJP Govt gets it for 795 Should we be prepared for another scam BlackStripAgitation BlackStripAgitation,0.0,Neutral
We support lockdown to prevent Corona But this lockdown was not pre planned hence proved to be bigger problem of poor than corona BlackStripAgitation,-0.2,Negative
We support every step taken to wipe out corona but we can t deny the fact that Death due to Hunger has been the first reason poor are afraid of matang BlackStripAgitation,-0.21875,Negative
The number of corona test is not being increased this will increase the number of corona pidito and the risk of people dying Its Indian Student Front prohibits BlackStripAgitation BlackStripAgitation,0.0,Neutral
during Corona people are expected to provide support to fight against Pedemic but you in stead of support even providing moral support to your employees,-0.05,Negative
Why responsible There thought process was to kill Tablighi they never fought for corona they only fought wid muslim to kill them on the name of corana there are many nees coming from up that dey are directly sending tablighi to jail instead to fight from covid,0.13999999999999999,Positive
Today i have seen one video of doctors and nurses of GTB HOSPITAL fighting for corona and crying for food Please look into because warriors can not fight with empty stomach,-0.15000000000000002,Negative
Mass testing only will give solid picture to fight corona,0.0,Neutral
Khajpura this location very close to my heart I spent almost 20 years here My father demised here and U were there After that I relocated at my father s place Now this place is corona hub so stay alert be aware Never step out U r also a health care specialist,0.11666666666666665,Positive
Khajpura my place before leaving this place and settling in village jad been there for more than 20 years did engineering and lots of things in now a hub Corona 19 Hub Be aware U r there Pls don t step out We have do so may things in future,0.25,Positive
Plz wave late fee of 3B Return 2017 to Jan 2020 because Indian fight corona virous for deficult time of taxpayer and India economy is very low so wave late fee and all Taxpayer filed all pending return for all tax paid of this time Because India needs tax required Kindly,0.0,Neutral
Where the corona is screwing the whole world PPE kits given to tge docs in bihar was like a spoon of ghee in full plate khichdi LetsChangeBihar,0.275,Positive
In Starting phase of Corona Docs in Bihar was treating the patients wearing Raincoat due to shortage of PPE Kits LetsChangeBihar,-0.0625,Negative
On 22nd Apr Entire India was praising the Corona Warriors Our Docs in Patna Bihar was forced by Govt Officers to treat Corona patients without PPE Kits LetsChangeBihar,-0.15000000000000002,Negative
