Tweets,Polarity,Sentiments
A warm welcome and heartfelt thanks for participating with RadioHub PSG Tech in this Digital event of Corona awareness and Labour s day Mr A Mohan Assistant Professor PSG College of Technology covid19 coronaawareness radiohub Professor Master CoronaLockdown,0.31999999999999995,Positive
A warm welcome and heartfelt thanks for participating with RadioHub PSG Tech in this Digital event of Corona awareness and Labour s day Mr Senthil Managing Partner Hotel Arunachala Coimbatore Covid19 coronaawareness radiohub tamilnadu awareness LaboursDay,0.31999999999999995,Positive
Alagiri Krishnagiri MP Dr A Chellakumar distribution corona relief things to poor people in various places With regards M VIVEKANANDAN Block President Pochampalli,-0.2,Negative
Film is about spending time at home Can t cry everyday because Corona has arrived StayHome,-0.2,Negative
A warm welcome and heartfelt thanks for participating with RadioHub PSG Tech in this Digital event of Corona awareness and Labour s day Fame sassi selvaraj Anna covid19 coronaawareness radiohub tamilnadu awareness coronavirus laboursday mayday may1,0.31999999999999995,Positive
A warm welcome and heartfelt thanks for participating with RadioHub PSG Tech in this Digital event of Corona awareness and Labour s day sir covid19 coronavirus radiohub TamilNadu TamilNadulockdown LabourDay,0.31999999999999995,Positive
Spoke with my sister after her Corona Duty We are so proud that you are our Frontline Warrior against CoronaVirus Stay Safe Sissy and We stay home for you Salute Frontlineworkers Doctors,0.65,Positive
In this WORLD DAY FOR SAFETY AND HEALTH AT WORK Hon Member Of Parliament Theni Constituency AIADMK Parliamentary Leader Asked us to take a pledge to rise awareness on adopting safe measures at work places to stop Corona Virus,0.5,Positive
Corona virus medicine Redy WATCH this vedio,0.0,Neutral
Corona Article rummy,0.0,Neutral
Man proposes Corona disposes Invasion may become migration Sanitation can be sterilisation If Abhishekam is anointing kanji Sterilisation is anointed by kanjiku vali illadhavan Hail Meenakshi Hail EVR UMR VN Hail corona,0.0,Neutral
Well done sir total Tirupur district control your team with our honorable collector thank you for Corona fighters,0.0,Neutral
Alcohol causes drowsiness slowed response time distorted vision impaired decision making memory lapses decreased coordination and possibly unconsciousness which similar symptoms of Corona A drunkard how can stand against with viruses like corana PMKcallsShutTASMACever,-0.13333333333333333,Negative
Dear CM Please terminate tasmac The corona lockdown becomes a pre rehabilitation period for the drinkers It s a golden opportunity to us now PMKcallsShutTASMACever,0.3,Positive
First fight with you after fighting with corona this is true,0.3,Positive
Stay home Stay with great awareness in order meet your every relationships as like wife husband and others in your home Such awareness is like follow the lockdown period in order to avoid the attack of Corona virus,0.4,Positive
Corona lockdown period is a enough rehabilitation period for addicted drinkers We have solved the consequences already PMKcallsShutTASMACever,-0.2,Negative
Corona teaching a lesson to the addicted drinkers Life will be beautiful without Liquor PMKcallsShutTASMACever,0.22499999999999998,Positive
Corona teaching a lesson to the addicted drinker Life will be beautiful without Liquor PMKcallsShutTASMACever,0.22499999999999998,Positive
It s absolutely correct because some of people may not know seriousness of corona,0.2,Positive
Covid 19india coronaupdatesindia TN Together Against Corona TNGovt TNPolice Up To 3 Year Jail For Blocking Funerals Of COVID 19 Victims In Tamil Nadu NDTV,-0.1,Negative
look at the way muslims are spreading Covid 19 corona Virus,0.0,Neutral
I saw the newspaper in India America is the top ranking in corona virus affect and loses of peoples Could you please use kapasura suranam It was a good medicine for increasing immunity in human bodies Can u please check and use it,0.22499999999999998,Positive
Dear CM Pls look into this for Corona treatment,0.0,Neutral
Dear PM Pls look into this for Corona treatment,0.0,Neutral
Dear PM Pls look into this for Corona treatment,0.0,Neutral
Dear PM Pls look into this for Corona treatment,0.0,Neutral
4 Dry Cough Sneeze Body Pain Weakness High Fever Difficulty Breathing CORONA VIRUS Seek Medical Advice Immediately 2 2 INDIA,0.031111111111111117,Positive
Your work is very good but when will be Tekken single digit positive corona result,0.35528138528138525,Positive
leader needs a Tuition master at this age It takes 10 days to start work tat too useless video call on corona issue if Stalin were CM half of TN ppl ll b dead by now and Those ppls properties ll b in d name of DMK cadres,-0.2888888888888889,Negative
Plucking of Figg fruit from my Garden Corono quarantine time pass pretty happy in caring of my health coronavirus coronaquarantine corona deejay deejayhelpinghands deejayhealthylifestyle figgfruits,0.525,Positive
Good olden days tha dei corona,0.7,Positive
LIGHTNING THUNDER RAIN lightning thunder rain raindropchallenge evening black sky skychange skychallenge water waterchallenge savewater summer summervibes lockdownindia Corona,-0.16666666666666666,Negative
PLAN Only Initial payment Zero Rental for 30days Speed 10Mbps Data 100GB FUP Speed 1Mbps We the people We the society JioFiber 9344931070 Please pass it workingfromhome ambattur Broadband JioFiber jio TCSAtHome lockdownextension Corona,0.0,Neutral
I don t think lockdown is gonna be d solution going forward Govt should ban or think alternatives for crowded places an alternative for public transport more WFH social distancing public hygiene etc bcoz deaths due to hunger is increasing over Corona deaths Coronaindia,0.08166666666666667,Positive
Can t you kill the corona by disinfecting the body American President Asked Can you understand that the world is in the grip of such giants TrumpIsNotADoctor TrumpDisinfectant,0.0,Neutral
Corona is just a Virus Makes people Panic and Making them Down to Death Fight against Death StayHomeStaySafe StayHomeIndia StayHome,-0.15555555555555559,Negative
I saw the newspaper in India America is the top ranking in corona virus affect and loses of peoples Could you please use kapasura suranam It was a good medicine for increasing immunity in human bodies Can u please check and use it,0.22499999999999998,Positive
I saw the newspaper in India America is the top ranking in corona virus affect and loses of peoples Could you please use kapasura suranam It was a good medicine for increasing immunity in human bodies Can u please check and use it It is very help to US,0.21999999999999997,Positive
I saw the newspaper in India America is the top ranking in corona virus affect and loses of peoples Could you please use kapasura suranam It was a good medicine for increasing immunity in human bodies Can u please check and use it It is very help to US,0.21999999999999997,Positive
I saw the newspaper in India America is the top ranking in corona virus affect and loses of peoples Could you please use kapasura suranam It was a good medicine for increasing immunity in human bodies Can u please check and use it It is very help to US,0.21999999999999997,Positive
I saw the newspaper in India America is the top ranking in corona virus affect and loses of peoples Could you please use kapasura suranam It was a good medicine for increasing immunity in human bodies Can u please check and use it It is very help to US,0.21999999999999997,Positive
Only if ppl cooperate with the govt rules to avoid Corona infection all other activities can be done COVID2019india FightAgainstCOVID19 IndiaFightsCOVID19,-0.0625,Negative
2033 Me Passionately joining MasterChef Chief guest A Chinese person Inner me voices Let s die this time properly Again the same inner voices now That s how me ignoring the fact of dying this 2020 Lateron corona,-0.008333333333333333,Negative
Sir You can Your are the right man to save people We will pray for all people who were affected with CORONA Sure we are all become safe,0.42857142857142855,Positive
in SC will not hear Kashmir CAA cases but will open up for BJP s stooge Arnab Goswami even during Corona lockdown Shame on the history of Indian Judiciary,0.0,Neutral
Survey 93 5 Indians believe Modi Govt is handling Corona outbreak effectively,0.6,Positive
Hii mam im feeling mam mu city is look mam 30 members attacked in Covid 19 mam im stay home where are you going this world how many people death how many people attack in corona all pary for god pls god help me all doctor and nurses thanks thank you so much pls mam u safe,0.38,Positive
Corona quarantine connected every one,0.0,Neutral
Untill a vaccine s found spread cannot be controlled Even if they reduce the spread to few members the spread may start again through any channel so until medicine s found lockdown may extend Corona,-0.2,Negative
