Tweets,Polarity,Sentiments
Plz don t make this a religious thing Everyone has to behave responsibly only then India has any hope of beating corona We must all follow govt directions to the letter This is no time for religious fanaticism or any sort of blame game,-0.1,Negative
Hey corona Maybe you re army coming Maybe it s too much for us but it s all on you Cos if we can t protect the Fill the rest,0.2,Positive
In Bulandshar man died of corona named Ravishankar none of his relatives came to bear his body the muslim brother s lifted the body on their shoulder chanting name of The God,0.0,Neutral
Ram Tamil Nadu has just 50 corona virus patients while Kerala leads the table with 180 patients TN opened an exclusive corona virus hospital with 500 beds Shylaja writing an article in The Hindu is laughable bcoz she is a failure as health minister Shashi has other ideas,-0.3138888888888889,Negative
Go corona go,0.0,Neutral
Proud to indian Please donate as much as u comfortable to pm relief fund to fight against corona viruas at St Louis Church,0.6000000000000001,Positive
20 new corona cases in Kerala today 1 41 211 people are under observation,0.13636363636363635,Positive
corona congresskerala,0.0,Neutral
Are we there yet 21days lockdown corona,0.0,Neutral
PMOfIndia Corona CoronaLockdown Order to implement PradhanMantriGareebKalyanYojana issued by INDIA India PIBKochi,0.0,Neutral
More pics of railways converting coaches into isolation rooms for corona patients Take a look at a prototype of an isolation ward ready with medical facilities in Kamakhya in Assam with each coach having a capacity of serving 9 patients CoronaUpdate,0.2333333333333333,Positive
It s BC and AC not AD BC Before Corona AC After Corona Corona CoronaVirusUpdates coronavirus coronavirustruth,0.0,Neutral
Indian Railway once again come forward to help government in this tough time of corona epidemic Railway set up portable isolation centres in their coaches Thank you Indian railways IndiaFightsCoronavirus IndiaFightsCorona railways,-0.3888888888888889,Negative
He is preparing a bill for corona go corona bill,0.0,Neutral
So what do you call ur state Cancer or corona,0.0,Neutral
Scrap manic squandering of people s tax money use such huge fund 2buy Ventilators PPE Equipment for Hospitals setup Temporary Health Facilities and Quarantine Camps across India 2face Corona Catastrophe,0.20000000000000004,Positive
a developing story Kerala accuses TN of covering up corona virus cases Kerala leads the table with 135 patients admitted to isolation wards while TN has only 35 cases Kerala is upset that it s preeminent status Kerala model of Development is in danger,0.0,Neutral
Dear CM You and your government are doing excellent job in controlling the corona virus Hearty congratulations to all We are really proud of TN Silent but dedicated work Kudos to Amma s Govt,0.6,Positive
Insights like these are far more useful than long chart of Corona numbers,0.21249999999999997,Positive
