Tweets,Polarity,Sentiments
Stop Muslim Jamat Sunni to spreyed Corona,0.0,Neutral
When an Infosys employee called for Corona Jihad we took it lightly BUT NOW Over 200 people in Nizamuddin Delhi are showing symptoms of COVID19 Most cases trace back to a gathering at a Mosque 500 people frm around India attended the event amp many travelled back home,0.27999999999999997,Positive
Not from Corona the police will die only because of the poor people of the country,-0.2,Negative
Hamare village me Corona viruses se affected kuchh persons hai yaha ka local prasasan complain ka koi response nai le rha hai Please help us,0.0,Neutral
Hopes that the proposed economic package will help combat the unaccounted for damage in the wake of the Corona pandemic is ill assured StrandedAndDying TakeMeHome yuva,-0.15,Negative
Planned contingency in the time of Corona StrandedAndDying TakeMeHome yuva,0.0,Neutral
Absolutely disappointing to see the lack of preparedness of Bihar govt in the face of a pandemic like Corona NitishMustQuit,-0.6,Negative
If Corona doesn t kill them starvation will StrandedAndDying TakeMeHome yuva,0.0,Neutral
Humanitarian crisis outweighs the Corona crisis in India 21 day lock down and spraying of disinfectant on the hapless migrant labours children old people dying of hunger will escalate the crisis Allow not the disadvantages outweigh the advantages,-0.21851851851851853,Negative
29 dead so far due to Corona virus in India 22 workers die in India due to apathy and negligence Either ways its lives we intend to save Pls break this deafening silence Its now or never WorkersLivesMatter StrandedAndDying TakeMeHome yuva,-0.0875,Negative
Reporting me to lajawab kr rhi hain Corona ki dahshat hai kya Really a appreciable works you reporters are doing at this critical situation salute,0.1,Positive
Hlo Sir Gd Evening Sir Myself Ravi Ranjan I want to say that U sir My Ticket Has Been Book For The Bhopal Madhya pradesh6April 2020 Due To Corona Virus My Ticket Has Been CancelBut My Money Has Not Be Created on my A C Sir I Request to you Sir That Give Me Quickly,0.10416666666666666,Positive
Sir Gd Evening My Self Ravi Ranjan I want to say u that My Ticket Has Been Book For The Bhopal Madhya Pradesh On 6 April Due Corona Virus It Is Cancel Now But My Money 490 Rs Has Not Send My A C I Lso Request to you That Give Me My Money Sir Quickly Thnks,0.10416666666666666,Positive
Humans die from corona or not Yogi will surely die from Adityanath s inhuman acts voice Yogi Adityanath Sharm Karo,0.5,Positive
world January 30 9700 corona infected Today 7 lakh 21 thousand 902 infected Deaths 33 965 India January 30 First patient Today 1071 Corona Infected Deaths 29 We will win india fightcorona,0.525,Positive
We know financially bihar govt capable ni hai is corona se ladkne ke liye so i request our honourable prime minister shri sir please look into this matter and please provide better assistance kites and equipments to fight with this corona,0.2333333333333333,Positive
Patanjali has been doing a lot for the nation n not just during this corona pandemic Patanjali always took the stand in helping the nation Why don t you ask how much money did Unilever Nestle donated d answer is NONE bstpyp,0.2,Positive
Dear I am a student A little donation for our great country to fight corona virus from my pocket money PMCARES IndiaFightsCornona PMCaresFund PMOfIndia,0.30625,Positive
Where they ll live recidency He don t even have the plan for CHAMKI How can we expect him to be so eager on Corona NitishMustQuit,0.13636363636363635,Positive
Hundreds and thousands of Donetion But At we Can t See Any effect of It Dividing The people Making them Busy With Ramayan amp Circus Mr Corona Pleas look at them and do something at Ground Level,0.1,Positive
Donate for pm cares fund Corona virus Covid 19 Please donated for pm cares fund,0.0,Neutral
My small contribution towards the nation I am always ready for my country to serve whatever possible Let s win against Corona together PMCARES PMCaresFunds,0.1875,Positive
Small contribution to pm cares fund sri ji sir Hope this small small contribution make to set a better platform to fight against the Corona virus CORONATIME,-0.0625,Negative
Get well soon mam don t panic Stay strong and fight this virus U r under treatment so cooperate and come out with no corona Our blessings and good wishes Thanks,0.4444444444444444,Positive
First Name CORONA Surname VIRUS NickName COVID Age 19 Nationality CHINA Next of kin HANTA VIRUS Hobby Traveling and spreading Favorite Food LUNGS amp KIDNEYS Favorite Country Italy Dislikes Alcohol Relative EBOLA ChineseVirus19 CoronaUpdate mondaythoughts,0.25,Positive
Motivational Thoughts to fighting with Corona Virus at Samastipur,0.0,Neutral
I had a conversation with my bro inlaw in Bristol UK stated FM is also indian And he is leading england after PM tested corona positive And doing exemplary good work He may be candidate of next PM of england Stay at home Regards,0.3090909090909091,Positive
It s possible now people will died due to hunger will be at higher rate than corona 19 It s possible in this govt,0.03125,Positive
sir plz firstly focus on corona diseses after that decide what we do We think about poor people nd live,-0.0045454545454545565,Negative
I hope that all influencers should donate to PMO for help and overcome from Corona virus COVID2019india I had seen some YouTubers like had donated to Central and state government All should join and help to INDIA corona 19,0.0,Neutral
This corona virus makes much and more disaster The America crossed over 120000 confirmed casrs In Italy more than 10000 deaths This is increasing very quickly From this virus more than 650000 people were suffering and more than 30k death COVID2019india Covid 19,0.4333333333333333,Positive
Corona virus is wedding card for you my dear all friends and so please stay home in stay safe and following the rule prime Minister of India please,0.25,Positive
Corona be like bahan bs kr ab,0.0,Neutral
Whole world to china Yeah kya Corona Bawasir bana diye ho be,0.2,Positive
Sir need your immediate attention on this issue Kindly do something and save us corona bihar anandVihar,0.6,Positive
India Dear Sir Bank employee more than 45 year old are 50 suffering from daibitic why government are putting them on high Corona risk,0.25333333333333335,Positive
This is a very cute video from the Neemuch of M p where two young children broke their piggy bank to help the corona victims and the poor they gave money to the policemen to help the poor what would you say about these children for,-0.012500000000000011,Negative
He will donate for CORONA TOO Juts wait n watch But I m sad He will not publicise it,-0.5,Negative
sherry Being a student did my small bit for supporting your move towards helping the nation tackle the current situation due to corona PMCARES,-0.03125,Negative
Being a student did my small bit for supporting your move towards helping the nation tackle the current situation due to corona PMCaresFund pmcares IndiaFightsCorona,-0.03125,Negative
Juss a little Donation For ji for PMCARES to Fight Corona Virus at Samastipur,-0.1875,Negative
Respected Prime minister corona virus to abhi aaya hai lekin hmare gao me Jo patient pahle se high BP heart ya phir kidney ke patient hai wo kahan jaye kyuki private hospitals closed hai or doctors bhi ilaaz karne se inkaar kar rhe ispar vichar vimarsh kare,0.02,Positive
