Tweets,Polarity,Sentiments
This UP govt first suggest to drink cow urine best medicine for corona and the so called God man yogi Aditya doing all evils in the state but none has guts to question,0.37222222222222223,Positive
while your efforts to save your state people from Corona is laudable is it appropriate to dispose the medical wastes in Tamil Nadu limit This happens repeatedly,0.09999999999999999,Positive
But how we are going to buy it what s the logistics support they are gonna get to deliver the product to the last mile Innovation like Chick shampoo is okay but logistics is the bottle neck now May be in future it s gonna be a hit if Corona threat continues,0.16666666666666666,Positive
Former CM Karunanidhi s son Alagiri 10 lakhs were given to the Madurai collector to help the people affected by the corona Bharat Mata Ki J Coronaindia,0.0,Neutral
First possitive case from vadachennai adimitted in RGGH Covid19India Corona,0.25,Positive
You have given 1 crore 16 lakhs to north province governor BMS Charles for corona relief fund,0.0,Neutral
Health Minister s humble speech request as we enter into 5th week of 14 days fight Vijayabaskar TamilNadu against Corona outbreak,-0.2,Negative
coronavirusindia corona virus level increase on the india Please coprate on the people pls stay home on please And the people carefully All Members not for outside going And Keep Distance Maiten The Corona19 Very Dangerous Virus On Using in maske using Thank You,-0.29333333333333333,Negative
Corona group create pannanum,0.0,Neutral
How is it that you don t know how to interpret this present time Luke 12 56 My children the end is near 1 John 2 18 BibleVerses Bible BibleStudy hopeinchrist repentjesusiscoming SecondComing Corona COVID19 Covid 19 coronavirus selfquarantine LockedDown,0.05,Positive
In kanyakumari 6 people died with corona symptoms btw im nt communist or chinese puppet,0.0,Neutral
India converting Trains into makeshift hospital with isolation ward and ICU for treating corona patient and sending them to various parts of India it s really genius thing this shows always we are unique from other countries coronavirusindia hospitals CoronavirusOutbreak,0.11249999999999999,Positive
Corona Batting first,0.25,Positive
During this hard time it s important to be grateful for the Doctors Police cleaners and other Workers who dedicated their time for helping us They are now the Real heroes of our country Click the link below Corona India Covid19 Quarantine,0.04583333333333334,Positive
1 Physical Social Distancing 2 Personal Quarantine Ways Only Available For Prevention Of Further Spread Of Corona To New Personal 1 Treatment Of Infected Person 2 Infected Personal Identification n Quarantine Ways Only Available For Control Of Corona,0.0881542699724518,Positive
Turn O backsliding children saith the LORD Jeremiah 3 14 BibleVerses Bible BibleStudy hopeinchrist repentjesusiscoming SecondComing Corona COVID19 Covid 19 coronavirus selfquarantine LockedDown,0.0,Neutral
Sir Lockdown kya work krega Corona ko harane Please reply sir ur reply will boost me,0.0,Neutral
Sir If Corona lives inside animals and does nothing to them Why don t we search cure Vaccine design in animals immune system,0.0,Neutral
A Spanish princess is the first royale to die from corona spanishprincess spanish coronavirusindia CoronavirusOutbreak,0.08333333333333333,Positive
Juss a little Donation For ji for PMCARES to Fight Corona Virus,-0.1875,Negative
With no job left after countrywide lockdown against the pandemic corona virus migrants workers face a hard time to survive during this global health crisis CoronovirusPandemic 21daylockdown COVID19outbreak,-0.09722222222222222,Negative
Tommorow Sunrise shouldn t see the Corona mortality Pray for World CoronavirusOutbreak,0.0,Neutral
Can we take chance on FightCOVID19 By our Indian traditional medicine shidha He claimed that he has medicine which can cure patients with Corona INDIA,0.0,Neutral
Death tally in Italy due to Corona StaySafeStayHome,-0.125,Negative
Most of the aged women and men are infected with virus dry caugh sputam fever fever just wandering all around Melamathur village in perambalur dt district administration must take stringent action against such people immediately to curb corona infection to spread over,0.08666666666666667,Positive
Why they are speaking in English You can also post Corona updates in tamil,0.0,Neutral
If you want to give relief fund for corona virus affection Pls give your money to the Upi id pmcares,0.0,Neutral
It s our time to help govt We need to create more awareness since most of us don t have anything to do during our corona lockdown Every house will have some kids let s start our awareness from them record an awareness video CoronaAwarenessWithKids NationFirst CoronaWithKids,0.5,Positive
Aditya bang the plates loudly so that corona will not engluf you,0.1,Positive
yesterday and today two videos have passed it made me realize one I trusted but no basics at all This is only my speculation I believe now that the corona virus has been deliberately propagated by Chinese,0.0,Neutral
Call to me and I will answer you and tell you great and unsearchable things you do not know Jeremiah 33 3 BibleVerses Bible BibleStudy hopeinchrist repentjesusiscoming SecondComing Corona COVID19 Covid 19 coronavirus selfquarantine LockedDown,0.8,Positive
EMI Moratorium Interest has to pay for these 3 months Only principal are exception Then it is not a pause or relief for EMI it is profit for Banks If we are not able pay have to pay more interest Please reconsider Corona,0.08333333333333333,Positive
Please help these migrant workers I have seen police officials step out and help them In India people may die of starvation rather than corona,0.0,Neutral
Corona Virus Global Cases Jan 19 100 Cases Jan 24 1000 Cases Jan31 10000 Cases Feb12 50000 Cases Mar6 100000 Cases Mar 18 200000 Cases Mar 21 300000 Cases Mar 24 400000 Cases Mar 26 500000 Cases Mar 27 597 000 Cases Acceleration in Corona Spread Stay Safe,0.25,Positive
